date,open,high,low,close,index_value,daily_return,cumulative_return
2024-01-02,1025.01,1043.3,988.43,1000.0,1000.0,0.0,0.0
2024-01-03,992.68,1001.39,957.91,970.28,970.28,-2.97,-2.97
2024-01-04,967.04,984.36,943.64,963.9,963.9,-0.66,-3.61
2024-01-05,960.33,968.34,925.57,935.86,935.86,-2.91,-6.41
2024-01-08,933.01,941.85,900.72,907.32,907.32,-3.05,-9.27
2024-01-09,922.0,933.83,895.34,906.48,906.48,-0.09,-9.35
2024-01-10,901.88,914.44,875.88,889.2,889.2,-1.91,-11.08
2024-01-11,888.47,919.84,885.21,907.34,907.34,2.04,-9.27
2024-01-12,901.83,910.11,878.95,882.22,882.22,-2.77,-11.78
2024-01-15,878.18,913.57,870.38,892.21,892.21,1.13,-10.78
2024-01-16,886.71,901.01,872.67,891.35,891.35,-0.1,-10.87
2024-01-17,893.74,914.72,880.2,882.78,882.78,-0.96,-11.72
2024-01-18,872.19,929.94,857.89,925.67,925.67,4.86,-7.43
2024-01-19,930.96,941.9,910.47,918.29,918.29,-0.8,-8.17
2024-01-22,938.46,948.42,887.81,900.0,900.0,-1.99,-10.0
2024-01-23,897.63,942.33,886.46,927.53,927.53,3.06,-7.25
2024-01-24,927.29,935.9,883.86,920.48,920.48,-0.76,-7.95
2024-01-25,916.73,955.84,903.82,946.54,946.54,2.83,-5.35
2024-01-26,935.39,944.8,904.44,912.92,912.92,-3.55,-8.71
2024-01-29,909.83,936.38,856.04,876.9,876.9,-3.95,-12.31
2024-01-30,864.99,886.92,839.78,847.91,847.91,-3.31,-15.21
2024-01-31,839.04,865.19,807.47,819.49,819.49,-3.35,-18.05
2024-02-01,816.94,901.63,804.88,863.09,863.09,5.32,-13.69
2024-02-02,865.14,879.57,806.24,835.25,835.25,-3.23,-16.47
2024-02-05,830.6,868.65,775.16,813.5,813.5,-2.6,-18.65
2024-02-06,796.19,889.69,788.1,883.7,883.7,8.63,-11.63
2024-02-07,879.17,908.57,861.93,883.62,883.62,-0.01,-11.64
2024-02-08,899.41,954.81,879.33,915.19,915.19,3.57,-8.48
2024-02-19,962.97,1041.17,935.73,1032.07,1032.07,12.77,3.21
2024-02-20,1014.71,1061.08,995.08,1034.98,1034.98,0.28,3.5
2024-02-21,1002.68,1032.57,981.92,1002.05,1002.05,-3.18,0.2
2024-02-22,1030.96,1080.16,1003.9,1044.77,1044.77,4.26,4.48
2024-02-23,1068.21,1084.23,1024.2,1038.35,1038.35,-0.61,3.83
2024-02-26,1024.99,1089.84,1016.24,1066.65,1066.65,2.73,6.67
2024-02-27,1055.07,1170.4,1043.23,1147.93,1147.93,7.62,14.79
2024-02-28,1143.13,1180.57,1070.86,1074.38,1074.38,-6.41,7.44
2024-02-29,1079.44,1149.68,1073.37,1133.89,1133.89,5.54,13.39
2024-03-01,1135.33,1187.95,1122.15,1169.66,1169.66,3.15,16.97
2024-03-04,1193.74,1235.71,1158.4,1203.99,1203.99,2.94,20.4
2024-03-05,1186.19,1263.31,1165.74,1191.22,1191.22,-1.06,19.12
2024-03-06,1180.43,1203.59,1148.14,1180.35,1180.35,-0.91,18.04
2024-03-07,1187.73,1209.68,1138.88,1145.92,1145.92,-2.92,14.59
2024-03-08,1163.45,1211.71,1142.61,1200.64,1200.64,4.78,20.06
2024-03-11,1171.31,1227.05,1156.57,1216.93,1216.93,1.36,21.69
2024-03-12,1211.43,1245.14,1165.94,1191.03,1191.03,-2.13,19.1
2024-03-13,1221.74,1244.45,1188.6,1198.79,1198.79,0.65,19.88
2024-03-14,1175.73,1230.35,1164.92,1208.47,1208.47,0.81,20.85
2024-03-15,1200.86,1258.6,1179.91,1244.51,1244.51,2.98,24.45
2024-03-18,1253.62,1326.92,1239.62,1305.87,1305.87,4.93,30.59
2024-03-19,1293.27,1324.14,1268.09,1285.17,1285.17,-1.59,28.52
2024-03-20,1279.86,1327.03,1255.19,1293.08,1293.08,0.62,29.31
